Destination,route,distance
Botshabelo,N8,55
Thaba Nchu,N8,18
Tweespruit,N8,24
Ladybrand,N8 to R26,54
Hlohlolwane,R26,39
Ficksburg,R26 to R70,36
Rosendal,R70,44
Rosendal,R70to N5,40
Winburg,N5 to N1,69
Bloemfontein,N1,112
