Destination,Route,Distance
Reddersburg,N6,61
Smithfield,N6,73
Rouxville,N6 to R26,38
Zastron,R26,34
Vanstadensrus,R26,39
Wepener,R26 to R702,30
Dewetsdorp,R702,41
Bloemfontein,R702,72
