Destination,Route,Distance
Edenburg,N1 to R717,79
Trompsburg,R717 to N1,39
Springfontein,N1,28
Gariepdam,N1 to R701,47
Bethulie,R701,55
Smithfield,R701 to N6,68
Reddersburg,N6,73
Bloemfontein,N6,61
